2 36 -11.8273 -0.4    -24.20611816
2 37 -11.8273 -0.3    -24.21033923
2 38 -11.8273 -0.2      -24.214692
2 39 -11.8273 -0.1    -24.21903414
2 40 -11.8273 0    -24.22322826
2 41 -11.8273 0.1     -24.2271586
2 42 -11.8273 0.2    -24.23074171
2 43 -11.8273 0.3    -24.23392972
2 44 -11.8273 0.4    -24.23670725
2 45 -11.8273 0.5    -24.23908464
2 46 -11.8273 0.6     -24.2410898
2 47 -11.8273 0.7    -24.24276073
2 48 -11.8273 0.8    -24.24413962
2 49 -11.8273 0.9     -24.2452686
2 50 -11.8273 1     -24.2461872
2 51 -11.8273 1.1    -24.24693088
2 52 -11.8273 1.2    -24.24753059
2 53 -11.8273 1.3    -24.24801266
2 54 -11.8273 1.4    -24.24839922
2 55 -11.8273 1.5    -24.24870858
2 56 -11.8273 1.6    -24.24895577
2 57 -11.8273 1.7    -24.24915305
2 58 -11.8273 1.8    -24.24931034
2 59 -11.8273 1.9    -24.24943564
2 60 -11.8273 2    -24.24953541
2 61 -11.8273 2.1    -24.24961481
2 62 -11.8273 2.2    -24.24967796
2 63 -11.8273 2.3    -24.24972819
2 64 -11.8273 2.4    -24.24976813
2 65 -11.8273 2.5    -24.24979987
2 66 -11.8273 2.6     -24.2498251
2 67 -11.8273 2.7    -24.24984516
2 68 -11.8273 2.8    -24.24986109
2 69 -11.8273 2.9    -24.24987375
2 70 -11.8273 3    -24.24988381
2 71 -11.8273 3.1     -24.2498918
2 72 -11.8273 3.2    -24.24989816
2 73 -11.8273 3.3     -24.2499032
2 74 -11.8273 3.4    -24.24990721
2 75 -11.8273 3.5     -24.2499104
2 76 -11.8273 3.6    -24.24991294
2 77 -11.8273 3.7    -24.24991495
2 78 -11.8273 3.8    -24.24991656
2 79 -11.8273 3.9    -24.24991784
2 80 -11.8273 4    -24.24991886
3 0 -11.7409 -4    -24.18079696
3 1 -11.7409 -3.9    -24.18079873
3 2 -11.7409 -3.8    -24.18080096
3 3 -11.7409 -3.7    -24.18080376
3 4 -11.7409 -3.6     -24.1808073
3 5 -11.7409 -3.5    -24.18081175
3 6 -11.7409 -3.4    -24.18081737
3 7 -11.7409 -3.3    -24.18082445
3 8 -11.7409 -3.2    -24.18083338
3 9 -11.7409 -3.1    -24.18084465
3 10 -11.7409 -3    -24.18085889
3 11 -11.7409 -2.9    -24.18087686
3 12 -11.7409 -2.8    -24.18089959
3 13 -11.7409 -2.7    -24.18092834
3 14 -11.7409 -2.6    -24.18096474
3 15 -11.7409 -2.5    -24.18101086
3 16 -11.7409 -2.4    -24.18106934
3 17 -11.7409 -2.3    -24.18114355
3 18 -11.7409 -2.2    -24.18123778
3 19 -11.7409 -2.1    -24.18135749
3 20 -11.7409 -2     -24.1815096
3 21 -11.7409 -1.9    -24.18170289
3 22 -11.7409 -1.8    -24.18194848
3 23 -11.7409 -1.7    -24.18226037
3 24 -11.7409 -1.6    -24.18265616
3 25 -11.7409 -1.5    -24.18315783
3 26 -11.7409 -1.4    -24.18379253
3 27 -11.7409 -1.3    -24.18459337
3 28 -11.7409 -1.2    -24.18559974
3 29 -11.7409 -1.1    -24.18685709
3 30 -11.7409 -1    -24.18841533
3 31 -11.7409 -0.9    -24.19032546
3 32 -11.7409 -0.8     -24.1926338
3 33 -11.7409 -0.7    -24.19537369
3 34 -11.7409 -0.6    -24.19855555
3 35 -11.7409 -0.5    -24.20215728
3 36 -11.7409 -0.4    -24.20611816
3 37 -11.7409 -0.3    -24.21033923
3 38 -11.7409 -0.2      -24.214692
3 39 -11.7409 -0.1    -24.21903414
3 40 -11.7409 0    -24.22322826
3 41 -11.7409 0.1     -24.2271586
3 42 -11.7409 0.2    -24.23074171
3 43 -11.7409 0.3    -24.23392972
3 44 -11.7409 0.4    -24.23670725
3 45 -11.7409 0.5    -24.23908464
3 46 -11.7409 0.6     -24.2410898
3 47 -11.7409 0.7    -24.24276073
3 48 -11.7409 0.8    -24.24413962
3 49 -11.7409 0.9     -24.2452686
3 50 -11.7409 1     -24.2461872
3 51 -11.7409 1.1    -24.24693088
3 52 -11.7409 1.2    -24.24753059
3 53 -11.7409 1.3    -24.24801266
3 54 -11.7409 1.4    -24.24839922
3 55 -11.7409 1.5    -24.24870858
3 56 -11.7409 1.6    -24.24895577
3 57 -11.7409 1.7    -24.24915305
3 58 -11.7409 1.8    -24.24931034
3 59 -11.7409 1.9    -24.24943564
3 60 -11.7409 2    -24.24953541
3 61 -11.7409 2.1    -24.24961481
3 62 -11.7409 2.2    -24.24967796
3 63 -11.7409 2.3    -24.24972819
3 64 -11.7409 2.4    -24.24976813
3 65 -11.7409 2.5    -24.24979987
3 66 -11.7409 2.6    -24.24982511
3 67 -11.7409 2.7    -24.24984516
3 68 -11.7409 2.8    -24.24986109
3 69 -11.7409 2.9    -24.24987375
3 70 -11.7409 3    -24.24988381
3 71 -11.7409 3.1    -24.24989181
3 72 -11.7409 3.2    -24.24989816
3 73 -11.7409 3.3    -24.24990321
3 74 -11.7409 3.4    -24.24990722
3 75 -11.7409 3.5    -24.24991041
3 76 -11.7409 3.6    -24.24991294
3 77 -11.7409 3.7    -24.24991496
3 78 -11.7409 3.8    -24.24991657
3 79 -11.7409 3.9    -24.24991785
3 80 -11.7409 4    -24.24991888
4 0 -11.6545 -4    -24.18079696
4 1 -11.6545 -3.9    -24.18079873
4 2 -11.6545 -3.8    -24.18080096
4 3 -11.6545 -3.7    -24.18080376
4 4 -11.6545 -3.6     -24.1808073
4 5 -11.6545 -3.5    -24.18081175
4 6 -11.6545 -3.4    -24.18081737
4 7 -11.6545 -3.3    -24.18082445
4 8 -11.6545 -3.2    -24.18083338
4 9 -11.6545 -3.1    -24.18084465
4 10 -11.6545 -3    -24.18085889
4 11 -11.6545 -2.9    -24.18087686
4 12 -11.6545 -2.8    -24.18089959
4 13 -11.6545 -2.7    -24.18092834
4 14 -11.6545 -2.6    -24.18096474
4 15 -11.6545 -2.5    -24.18101086
4 16 -11.6545 -2.4    -24.18106934
4 17 -11.6545 -2.3    -24.18114355
4 18 -11.6545 -2.2    -24.18123778
4 19 -11.6545 -2.1    -24.18135749
4 20 -11.6545 -2     -24.1815096
4 21 -11.6545 -1.9    -24.18170289
4 22 -11.6545 -1.8    -24.18194848
4 23 -11.6545 -1.7    -24.18226037
4 24 -11.6545 -1.6    -24.18265616
4 25 -11.6545 -1.5    -24.18315783
4 26 -11.6545 -1.4    -24.18379253
4 27 -11.6545 -1.3    -24.18459337
4 28 -11.6545 -1.2    -24.18559974
4 29 -11.6545 -1.1    -24.18685709
4 30 -11.6545 -1    -24.18841533
4 31 -11.6545 -0.9    -24.19032546
4 32 -11.6545 -0.8     -24.1926338
4 33 -11.6545 -0.7    -24.19537369
4 34 -11.6545 -0.6    -24.19855555
4 35 -11.6545 -0.5    -24.20215728
4 36 -11.6545 -0.4    -24.20611816
4 37 -11.6545 -0.3    -24.21033923
4 38 -11.6545 -0.2      -24.214692
4 39 -11.6545 -0.1    -24.21903414
4 40 -11.6545 0    -24.22322826
4 41 -11.6545 0.1     -24.2271586
4 42 -11.6545 0.2    -24.23074171
4 43 -11.6545 0.3    -24.23392972
4 44 -11.6545 0.4    -24.23670725
4 45 -11.6545 0.5    -24.23908464
4 46 -11.6545 0.6     -24.2410898
4 47 -11.6545 0.7    -24.24276073
4 48 -11.6545 0.8    -24.24413962
4 49 -11.6545 0.9     -24.2452686
4 50 -11.6545 1     -24.2461872
4 51 -11.6545 1.1    -24.24693088
4 52 -11.6545 1.2    -24.24753059
4 53 -11.6545 1.3    -24.24801266
4 54 -11.6545 1.4    -24.24839922
4 55 -11.6545 1.5    -24.24870858
4 56 -11.6545 1.6    -24.24895577
4 57 -11.6545 1.7    -24.24915305
4 58 -11.6545 1.8    -24.24931034
4 59 -11.6545 1.9    -24.24943564
4 60 -11.6545 2    -24.24953541
4 61 -11.6545 2.1    -24.24961481
4 62 -11.6545 2.2    -24.24967797
4 63 -11.6545 2.3    -24.24972819
4 64 -11.6545 2.4    -24.24976813
4 65 -11.6545 2.5    -24.24979987
4 66 -11.6545 2.6    -24.24982511
4 67 -11.6545 2.7    -24.24984516
4 68 -11.6545 2.8    -24.24986109
4 69 -11.6545 2.9    -24.24987375
4 70 -11.6545 3    -24.24988382
4 71 -11.6545 3.1    -24.24989181
